1638.0,1643.0,1648.0,1653.0,1658.0,1663.0,1668.0,1673.0,1678.0,1683.0,1688.0,1693.0,1698.0,1703.0,1708.0,1713.0,1718.0,1723.0,1728.0,1733.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1
2,0,0,0,0,1,1,1,1,0,1,0,2,0,1,0,0,0,0,1
2,1,0,0,0,1,1,1,1,0,1,0,2,0,0,0,0,2,1,1
2,2,0,1,0,2,2,1,2,3,1,1,3,1,1,1,2,3,1,0
2,1,0,1,1,3,2,3,2,3,3,2,2,1,1,1,2,3,1,0
2,1,5,2,2,2,2,2,4,5,4,4,1,1,1,1,2,3,2,0
2,1,5,2,2,2,2,2,4,4,5,5,1,1,1,1,1,1,2,1
2,2,4,2,3,2,3,4,6,4,4,3,1,1,1,2,1,0,2,1
3,3,3,2,2,2,2,4,4,3,3,3,3,2,2,1,2,0,2,1
3,3,3,2,2,2,3,5,3,3,3,1,3,2,3,1,2,0,1,1
3,3,2,2,2,2,3,3,3,3,3,1,3,3,3,1,0,0,1,1
3,3,2,2,2,1,3,3,3,3,2,1,2,3,3,2,0,0,0,1
2,2,2,2,1,1,3,3,3,2,2,1,2,3,2,2,0,0,0,1
2,0,1,1,1,1,1,3,2,2,2,0,1,1,1,1,0,0,0,1
1,0,0,1,1,2,1,2,1,1,2,0,1,1,1,1,0,0,0,1
0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
